Sample,Wells,Value,Mean Value ,stdev,%CV,%B/Bo,,,,,,,,,,,,
25,A1,0.074,0.0745,0.000707107,0.949136619,19.65699208,,,,,,,,,,,,
,A2,0.075,,,,,,,,,,,,,,,,
10,B1,0.087,0.093,0.008485281,9.123958467,24.53825858,,,,,,,,,,,,
,B2,0.099,,,,,,,,,,,,,,,,
5,C1,0.127,0.1245,0.003535534,2.83978627,32.84960422,,,,,,,,,,,,
,C2,0.122,,,,,,,,,,,,,,,,
3,D1,0.158,0.1705,0.01767767,10.36813462,44.98680739,,,,,,,,,,,,
,D2,0.183,,,,,,,,,,,,,,,,
2,E1,0.202,0.196,0.008485281,4.329225191,51.71503958,,,,,,,,,,,,
,E2,0.19,,,,,,,,,,,,,,,,
1,F1,0.224,0.2235,0.000707107,0.316378873,58.97097625,,,,,,,,,,,,
,F2,0.223,,,,,,,,,,,,,,,,
0.5,G1,0.316,0.309,0.009899495,3.203720044,81.53034301,,,,,,,,,,,,
,G2,0.302,,,,,,,,,,,,,,,,
0,H1,0.382,0.379,0.004242641,1.11943026,100,,,,,,,,,,,,
,H2,0.376,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,DF=2.5,,,,COMBINED CORTISOL (WHOLE BODY + OVARY),,,,,,,
Fish ,Treatment ,Value,MeanValue,%B/Bo,Cortisol (ng/mL),%CV,Cortisol in 1x hom (ng/ml),Tissue Weight (mg),Tissue in 1x hom (g/ml),Cortisol (ng/g),Wet Weight (mg),Ovary Weight (mg),Body Weight,Absolute ovary cortisol (ng),Absolute just body cortisol (ng),TOTAL CORTISOL NG/G,Treatment Mean,Treatment SEM
1,Vehicle ,0.217,0.2075,54.74934037,1.725034033,6.5,4.312585082,101.9,0.169297225,25.47345398,780.3,121,659.3,0.611310494,16.79464821,22.30675215,,
,,0.198,,,,,,,,,,,,,,,,
2,Vehicle ,0.234,0.2385,62.92875989,1.022515729,2.7,2.556289322,96.7,0.162057986,15.77391767,619.1,72.9,546.2,0.750283902,8.615713829,15.12840855,,
,,0.243,,,,,,,,,,,,,,,,
3,Vehicle ,0.205,0.209,55.14511873,1.681928846,2.7,4.204822115,91.4,0.154548529,27.20713128,642.4,51.8,590.6,2.163086749,16.06853173,28.38047709,,
,,0.213,,,,,,,,,,,,,,,,
4,Vehicle ,0.157,0.1565,41.29287599,4.078113596,0.5,10.19528399,99.6,0.16611074,61.37642852,471.5,59.7,411.8,2.248856044,25.27481326,58.3746963,,
,,0.156,,,,,,,,,,,,,,,,
5,Vehicle ,0.201,0.2035,53.6939314,1.845459267,1.7,4.613648166,92.8,0.156545209,29.4716663,700.4,57.7,642.7,1.747569607,18.94143993,29.53884857,,
,,0.206,,,,,,,,,,,,,,,,
6,Vehicle ,0.175,0.1935,51.05540897,2.18459761,13.5,5.461494025,105.2,0.173826834,31.41916525,667.3,116.5,550.8,1.606975289,17.30567622,28.34205231,,
,,0.212,,,,,,,,,,,,,,,30.34520583,6.028662064
13,25 ug/g,0.266,0.274,72.29551451,0.561787641,4.1,1.404469104,93.4,0.157398045,8.923040322,529.3,55.8,473.5,2.430520231,4.225059593,12.57430535,,
,,0.282,,,,,,,,,,,,,,,,
14,25 ug/g,0.218,0.2005,52.90237467,1.941263822,12.3,4.853159554,105.7,0.174508833,27.81039491,657.4,123.8,533.6,6.831361242,14.83962672,32.96469116,,
,,0.183,,,,,,,,,,,,,,,,
15,25 ug/g,0.231,0.23,60.68601583,1.180176436,0.6,2.95044109,98.7,0.164857191,17.89695117,850.1,189.7,660.4,3.736212614,11.81914655,18.29826981,,
,,0.229,,,,,,,,,,,,,,,,
16,25 ug/g,0.218,0.22,58.0474934,1.397056369,1.3,3.492640922,98,0.163879599,21.31223746,617.7,83.7,534.0,5.513423246,11.38073481,27.35010208,,
,,0.222,,,,,,,,,,,,,,,,
17,25 ug/g,0.209,0.212,55.93667546,1.598922897,2.0,3.997307244,102.2,0.169711059,23.55360491,553,94.5,458.5,5.546154456,10.79932785,29.55783419,,
,,0.215,,,,,,,,,,,,,,,,
18,25 ug/g,0.204,0.199,52.50659631,1.991015355,3.6,4.977538389,90.5,0.153259949,32.47775048,483,56,427.0,2.51147538,13.86799945,33.91195618,,
,,0.194,,,,,,,,,,,,,,,25.77619313,3.487369212
