date,enc.ID,dur.in.cell,community,encounter/split,z.tot.party.size,z.sqrt.diff.party.size,z.sqrt.nr.swollen.females,z.marginality,z.log.morisita.i,z.monthly.fruit.abundance.index,z.log.fruit.abundance.index.per.cell
5/2/16,NA,4.915500461,EKK,no,NA,NA,NA,-0.662070946,NA,NA,NA
5/2/16,NA,3.122733978,EKK,no,NA,NA,NA,0.616615,NA,NA,NA
5/2/16,NA,0.005835915,EKK,no,NA,NA,NA,-1.193122838,NA,NA,NA
5/2/16,NA,0.087705425,EKK,no,NA,NA,NA,0.616615,NA,NA,NA
5/2/16,NA,0.006191467,EKK,no,NA,NA,NA,-1.193122838,NA,NA,NA
5/2/16,NA,0.521737077,EKK,no,NA,NA,NA,0.616615,NA,NA,NA
5/2/16,NA,0.541962344,EKK,no,NA,NA,NA,-1.193122838,NA,NA,NA
5/3/16,NA,2.782344771,EKK,no,NA,NA,NA,-1.193122838,NA,NA,NA
5/3/16,NA,2.302098098,EKK,no,NA,NA,NA,-1.717554315,NA,NA,NA
5/3/16,NA,1.294397908,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/3/16,NA,1.321116178,EKK,no,NA,NA,NA,-1.717554315,NA,NA,NA
5/3/16,NA,2.520136435,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/3/16,NA,0.534391804,EKK,no,NA,NA,NA,-1.717554315,NA,NA,NA
5/3/16,NA,0.928014807,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/3/16,NA,1.179455359,KKL,no,NA,NA,NA,-1.16616829,NA,NA,NA
5/3/16,NA,1.846644044,KKL,no,NA,NA,NA,-1.674994502,NA,NA,NA
5/3/16,NA,0.297814462,KKL,no,NA,NA,NA,-1.16616829,NA,NA,NA
5/3/16,NA,7.050604168,KKL,no,NA,NA,NA,0.212296774,NA,NA,NA
5/3/16,NA,0.892034215,KKL,no,NA,NA,NA,-1.16616829,NA,NA,NA
5/3/16,NA,0.669227114,KKL,no,NA,NA,NA,0.212296774,NA,NA,NA
5/3/16,NA,0.160887303,KKL,no,NA,NA,NA,-1.16616829,NA,NA,NA
5/4/16,NA,2.948075554,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/4/16,NA,0.078384222,EKK,no,NA,NA,NA,0.942906902,NA,NA,NA
5/4/16,NA,2.31591043,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/4/16,NA,3.686158871,EKK,no,NA,NA,NA,0.942906902,NA,NA,NA
5/4/16,NA,0.356012507,EKK,no,NA,NA,NA,0.847856652,NA,NA,NA
5/4/16,NA,0.117603252,EKK,no,NA,NA,NA,0.942906902,NA,NA,NA
5/4/16,NA,1.676744053,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/4/16,NA,1.794447906,KKL,no,NA,NA,NA,-1.16616829,NA,NA,NA
5/4/16,NA,0.937440917,KKL,no,NA,NA,NA,-0.798735235,NA,NA,NA
5/5/16,NA,1.738536211,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/5/16,NA,0.013408233,EKK,no,NA,NA,NA,0.942906902,NA,NA,NA
5/5/16,NA,0.506157901,EKK,no,NA,NA,NA,-0.285180155,NA,NA,NA
5/5/16,NA,8.636286235,EKK,no,NA,NA,NA,0.942906902,NA,NA,NA
